epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.0284,2.73136,13.5623,1.10577,0,0,0,0,2.67394,10.1098,1.09037,0.00012,0.00012,0.00012
2,11.3941,2.93847,11.2248,1.00304,0.00093,0.18421,0.00027,8e-05,2.48721,7.87871,0.95479,0.000257426,0.000257426,0.000257426
3,12.162,2.38259,6.80495,0.86421,0.00013,0.02632,1e-05,0,2.75873,8.65417,0.95143,0.00039208,0.00039208,0.00039208
4,12.872,2.49533,5.38211,0.86056,0.0004,0.07895,7e-05,1e-05,2.51672,8.25265,0.87721,0.000523962,0.000523962,0.000523962
5,13.5964,2.31507,5.17177,0.84168,0.00027,0.05263,2e-05,0,2.79892,8.57438,0.97685,0.000653072,0.000653072,0.000653072
6,14.3132,2.50415,5.34464,0.82641,0,0,0,0,2.82339,9.26812,1.01047,0.00077941,0.00077941,0.00077941
7,15.0312,2.13508,4.22752,0.81501,0,0,0,0,2.89724,10.6704,1.15657,0.000902976,0.000902976,0.000902976
8,15.718,2.39003,4.10084,0.80866,0,0,0,0,2.56473,9.39543,0.99714,0.00102377,0.00102377,0.00102377
9,16.4243,2.55785,4.79109,0.79258,0.00093,0.18421,0.00023,9e-05,2.21271,7.16047,0.82874,0.00114179,0.00114179,0.00114179
10,17.1561,2.28693,4.37896,0.79261,0.00213,0.42105,0.00155,0.00082,2.20115,5.73231,0.81451,0.00125704,0.00125704,0.00125704
11,17.9274,2.19688,3.90282,0.82404,0.00307,0.60526,0.03394,0.01416,2.12351,4.90209,0.80139,0.00136952,0.00136952,0.00136952
12,18.6567,2.29186,3.54453,0.77648,0.25981,0.05573,0.14032,0.06043,2.11964,3.97815,0.77872,0.00147923,0.00147923,0.00147923
13,19.3685,2.37357,4.04363,0.81926,1,0.07277,0.20653,0.10856,2.1481,4.04777,0.83043,0.00158616,0.00158616,0.00158616
