epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.82191,1.91859,2.87282,1.19107,0.56769,0.5735,0.59364,0.32369,1.54938,2.57397,1.069,0.00015719,0.00015719,0.00015719
2,5.46817,1.56719,1.3072,1.04724,0.42273,0.67794,0.36457,0.18039,1.55862,9.74676,1.09815,0.000325416,0.000325416,0.000325416
3,7.6984,1.56206,1.08986,1.04488,0.78344,0.70496,0.78984,0.43383,1.50897,1.24357,1.08232,0.000490247,0.000490247,0.000490247
4,10.1895,1.51862,0.99713,1.02818,0.78345,0.80861,0.87231,0.42156,1.66678,1.28379,1.16137,0.000651683,0.000651683,0.000651683
5,12.5406,1.57859,0.98741,1.06729,0.85461,0.79733,0.87899,0.49393,1.47458,0.96606,1.0885,0.000809723,0.000809723,0.000809723
6,15.0947,1.50822,0.96471,1.04218,0.83481,0.81682,0.87735,0.46061,1.51577,1.1045,1.11843,0.000964368,0.000964368,0.000964368
7,17.2053,1.49294,0.89806,1.05524,0.86153,0.82057,0.91945,0.49615,1.47572,1.49446,1.12494,0.00111562,0.00111562,0.00111562
8,19.5405,1.45545,0.87754,1.02008,0.84883,0.83234,0.90042,0.50328,1.49988,0.92294,1.13128,0.00126347,0.00126347,0.00126347
9,21.864,1.47165,0.87583,1.01455,0.85105,0.84674,0.88661,0.4584,1.57396,0.93415,1.15033,0.00131582,0.00131582,0.00131582
10,23.9527,1.47143,0.91156,0.99915,0.90105,0.87463,0.92935,0.51343,1.48698,0.88326,1.117,0.00130168,0.00130168,0.00130168
11,26.2878,1.45642,0.81378,1,0.91575,0.84097,0.9097,0.50545,1.49963,0.84616,1.12216,0.00128753,0.00128753,0.00128753
12,28.3712,1.39442,0.81899,0.98933,0.89635,0.83688,0.91987,0.5269,1.46165,0.85782,1.10796,0.00127338,0.00127338,0.00127338
13,30.6937,1.37933,0.76784,0.99084,0.9422,0.89049,0.94337,0.51853,1.47701,0.80451,1.07579,0.00125923,0.00125923,0.00125923
14,32.7668,1.39384,0.77034,0.9721,0.91564,0.87813,0.92639,0.53336,1.3965,0.82049,1.05424,0.00124509,0.00124509,0.00124509
15,35.1097,1.38904,0.78104,0.97448,0.96133,0.86553,0.9462,0.56912,1.36663,0.74986,1.0558,0.00123094,0.00123094,0.00123094
16,37.4658,1.38209,0.73565,0.9723,0.93667,0.87993,0.93892,0.5493,1.42349,0.74587,1.08364,0.00121679,0.00121679,0.00121679
17,39.5386,1.39803,0.71989,0.97459,0.93398,0.88691,0.94839,0.53364,1.49184,0.78917,1.08307,0.00120265,0.00120265,0.00120265
18,41.6104,1.41928,0.76257,0.98529,0.91292,0.90086,0.94329,0.53742,1.44111,0.77389,1.10378,0.0011885,0.0011885,0.0011885
19,43.6815,1.34069,0.72766,0.97386,0.92282,0.88494,0.93632,0.55751,1.39377,0.71177,1.07563,0.00117435,0.00117435,0.00117435
20,45.749,1.35013,0.69675,1.00124,0.93944,0.88811,0.94825,0.56029,1.35475,0.70756,1.03768,0.00116021,0.00116021,0.00116021
21,47.8266,1.35713,0.71802,0.97229,0.95266,0.89815,0.9514,0.54706,1.4086,0.73538,1.04627,0.00114606,0.00114606,0.00114606
22,49.895,1.36572,0.71645,0.96352,0.91679,0.89602,0.94777,0.55194,1.4313,0.75223,1.06923,0.00113191,0.00113191,0.00113191
