epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.7775,0.54085,8.98144,0.56448,0.76786,1.18401,0.11177,0.71921,0.09953,0.04471,0,0,0,0,1.86919,10.7121,0.78166,11.9493,2.20209,0.000661692,0.000661692,0.000661692
2,45.2452,0.50753,7.94664,0.45242,0.5154,1.12927,0.62031,0.72906,0.66505,0.40438,0,0,0,0,1.11708,9.3299,0.66339,1.68579,1.68654,0.00131521,0.00131521,0.00131521
3,63.0193,0.46326,6.80455,0.40949,0.472,1.09062,0.93231,0.97537,0.98719,0.87276,0.3438,0.29939,0.25596,0.04319,0.464,6.13272,0.56286,0.81784,0.7897,0.00195552,0.00195552,0.00195552
4,80.6528,0.42257,6.00765,0.38126,0.42741,1.06429,0.99016,0.99183,0.99446,0.89555,0.76453,0.75171,0.72859,0.20918,0.4541,4.11098,0.50587,0.6368,0.8135,0.0019406,0.0019406,0.0019406
5,98.2674,0.37902,5.48484,0.35831,0.39533,1.03161,0.97667,1,0.99306,0.92788,0.26658,0.27586,0.07957,0.01853,0.37977,5.09598,0.53547,0.4533,0.75955,0.0019208,0.0019208,0.0019208
6,115.596,0.35003,4.91454,0.34383,0.35853,1.01622,0.96721,0.99507,0.99365,0.88753,0.66437,0.69233,0.57597,0.09549,0.38918,4.22487,0.69226,0.3672,0.72957,0.001901,0.001901,0.001901
7,132.955,0.34737,4.5728,0.33614,0.36105,1.01435,0.99854,1,0.995,0.93261,0.82431,0.83204,0.71366,0.1466,0.36564,3.5267,0.41137,0.41369,0.69945,0.0018812,0.0018812,0.0018812
8,150.306,0.32181,4.20074,0.32535,0.3312,0.99155,0.9746,1,0.99475,0.96051,0.72334,0.74384,0.54681,0.17011,0.31022,3.46623,0.4784,0.29554,0.62689,0.0018614,0.0018614,0.0018614
9,167.967,0.31034,3.80262,0.31389,0.31787,0.98828,0.99943,1,0.995,0.91124,0.96004,0.96059,0.92796,0.41472,0.30984,2.68657,0.41669,0.30735,0.6517,0.0018416,0.0018416,0.0018416
10,185.564,0.30388,3.50203,0.30113,0.31564,0.9842,0.99493,1,0.995,0.95719,0.51506,0.51724,0.37683,0.11112,0.29985,4.07316,0.37148,0.24819,0.64244,0.0018218,0.0018218,0.0018218
11,202.931,0.28637,3.41665,0.28653,0.30229,0.97988,0.99814,1,0.995,0.96971,0.98339,0.98522,0.9792,0.32835,0.2942,2.82873,0.416,0.23858,0.64131,0.001802,0.001802,0.001802
12,220.282,0.26983,3.18998,0.27707,0.28084,0.96157,0.99953,1,0.995,0.97119,0.98968,0.99015,0.99052,0.4969,0.25493,2.59726,0.38796,0.21943,0.57942,0.0017822,0.0017822,0.0017822
